option	kind	default	family	object	depends	source	help	role	n_values	in_build
mat_superlu_equil	bool	(PetscBool)lu->options.Equil	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:407	Equil	tuning		yes
mat_superlu_ilu_droprull	int	lu->options.ILU_DropRule	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:441	ILU_DropRule	tuning		yes
mat_superlu_ilu_droptol	real	lu->options.ILU_DropTol	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:435	ILU_DropTol	tuning		yes
mat_superlu_ilu_fillfactor	real	lu->options.ILU_FillFactor	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:439	ILU_FillFactor	tuning		yes
mat_superlu_ilu_filltol	real	lu->options.ILU_FillTol	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:437	ILU_FillTol	tuning		yes
mat_superlu_ilu_milu	int	lu->options.ILU_MILU	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:444	ILU_MILU	tuning		yes
mat_superlu_ilu_norm	int	lu->options.ILU_Norm	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:442	ILU_Norm	tuning		yes
mat_superlu_iterrefine	enum	4	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:410	IterRefine	tuning	4	yes
mat_superlu_lwork	int	lu->lwork	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:426	size of work array in bytes used by factorization	tuning		yes
mat_superlu_pivotgrowth	bool	(PetscBool)lu->options.PivotGrowth	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:416	PivotGrowth	tuning		yes
mat_superlu_printstat	bool	(PetscBool)lu->options.PrintStat	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:424	PrintStat	diagnostic		yes
mat_superlu_replacetinypivot	bool	(PetscBool)lu->options.ReplaceTinyPivot	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:422	ReplaceTinyPivot	tuning		yes
mat_superlu_rowperm	enum	2	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:420	rowperm	tuning	2	yes
mat_superlu_symmetricmode	bool	(PetscBool)lu->options.SymmetricMode	mat	superlu		src/mat/impls/aij/seq/superlu/superlu.c:412	SymmetricMode	tuning		yes
mat_umfpack_aggressive	real	lu->Control[UMFPACK_AGGRESSIVE]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:246	Control[UMFPACK_AGGRESSIVE]	tuning		yes
mat_umfpack_alloc_init	real	lu->Control[UMFPACK_ALLOC_INIT]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:265	Control[UMFPACK_ALLOC_INIT]	tuning		yes
mat_umfpack_amd_dense	real	lu->Control[UMFPACK_AMD_DENSE]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:243	Control[UMFPACK_AMD_DENSE]	tuning		yes
mat_umfpack_block_size	real	lu->Control[UMFPACK_BLOCK_SIZE]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:244	Control[UMFPACK_BLOCK_SIZE]	tuning		yes
mat_umfpack_dense_col	real	lu->Control[UMFPACK_DENSE_COL]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:241	Control[UMFPACK_DENSE_COL]	tuning		yes
mat_umfpack_dense_row	real	lu->Control[UMFPACK_DENSE_ROW]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:242	Control[UMFPACK_DENSE_ROW]	tuning		yes
mat_umfpack_droptol	real	lu->Control[UMFPACK_DROPTOL]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:267	Control[UMFPACK_DROPTOL]	tuning		yes
mat_umfpack_fixq	real	lu->Control[UMFPACK_FIXQ]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:245	Control[UMFPACK_FIXQ]	tuning		yes
mat_umfpack_front_alloc_init	real	lu->Control[UMFPACK_FRONT_ALLOC_INIT]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:266	Control[UMFPACK_FRONT_ALLOC_INIT]	tuning		yes
mat_umfpack_irstep	real	lu->Control[UMFPACK_IRSTEP]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:270	Control[UMFPACK_IRSTEP]	tuning		yes
mat_umfpack_ordering	enum	PETSC_STATIC_ARRAY_LENGTH(UmfpackOrderin	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:239	Internal ordering method	tuning	7	yes
mat_umfpack_pivot_tolerance	real	lu->Control[UMFPACK_PIVOT_TOLERANCE]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:249	Control[UMFPACK_PIVOT_TOLERANCE]	tuning		yes
mat_umfpack_prl	real	lu->Control[UMFPACK_PRL]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:222	Control[UMFPACK_PRL]	tuning		yes
mat_umfpack_scale	enum	3	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:251	Control[UMFPACK_SCALE]	tuning	3	yes
mat_umfpack_strategy	enum	3	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:225	ordering and pivoting strategy	tuning	3	yes
mat_umfpack_sym_pivot_tolerance	real	lu->Control[UMFPACK_SYM_PIVOT_TOLERANCE]	mat	umfpack		src/mat/impls/aij/seq/umfpack/umfpack.c:250	Control[UMFPACK_SYM_PIVOT_TOLERANCE]	tuning		yes
mat_mumps_cntl_1	real	mumps->id.CNTL(1)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2262	CNTL(1): relative pivoting threshold	tuning		yes
mat_mumps_cntl_2	real	mumps->id.CNTL(2)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2263	CNTL(2): stopping criterion of refinement	tuning		yes
mat_mumps_cntl_3	real	mumps->id.CNTL(3)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2264	CNTL(3): absolute pivoting threshold	tuning		yes
mat_mumps_cntl_4	real	mumps->id.CNTL(4)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2265	CNTL(4): value for static pivoting	tuning		yes
mat_mumps_cntl_5	real	mumps->id.CNTL(5)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2266	CNTL(5): fixation for null pivots	tuning		yes
mat_mumps_cntl_7	real	mumps->id.CNTL(7)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2267	CNTL(7): dropping parameter used during BLR	tuning		yes
mat_mumps_icntl_1	int	mumps->id.ICNTL(1)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2184	ICNTL(1): output stream for error messages	tuning		yes
mat_mumps_icntl_10	int	mumps->id.ICNTL(10)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2206	ICNTL(10): max num of refinements	tuning		yes
mat_mumps_icntl_11	int	mumps->id.ICNTL(11)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2207	ICNTL(11): statistics related to an error analysis (via -ksp_view)	tuning		yes
mat_mumps_icntl_12	int	mumps->id.ICNTL(12)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2208	ICNTL(12): an ordering strategy for symmetric matrices (0 to 3)	tuning		yes
mat_mumps_icntl_13	int	mumps->id.ICNTL(13)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2209	ICNTL(13): parallelism of the root node (enable ScaLAPACK) and its splitting	tuning		yes
mat_mumps_icntl_14	int	mumps->id.ICNTL(14)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2210	ICNTL(14): percentage increase in the estimated working space	tuning		yes
mat_mumps_icntl_15	int	mumps->id.ICNTL(15)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2213	ICNTL(15): compression of the input matrix resulting from a block format	tuning		yes
mat_mumps_icntl_19	int	mumps->id.ICNTL(19)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2218	ICNTL(19): computes the Schur complement	tuning		yes
mat_mumps_icntl_2	int	"and warning"""	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2186	None	tuning		yes
mat_mumps_icntl_20	int	mumps->ICNTL20	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2235	ICNTL(20): give mumps centralized (0) or distributed (10) dense right-hand sides	tuning		yes
mat_mumps_icntl_21	int	mumps->id.ICNTL(21)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2240	ICNTL(21): the distribution (centralized or distributed) of the solution vectors	tuning		not found
mat_mumps_icntl_22	int	mumps->id.ICNTL(22)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2242	ICNTL(22): in-core/out-of-core factorization and solve (0 or 1)	tuning		yes
mat_mumps_icntl_23	int	mumps->id.ICNTL(23)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2243	ICNTL(23): max size of the working memory (MB) that can allocate per processor	tuning		yes
mat_mumps_icntl_24	int	mumps->id.ICNTL(24)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2244	ICNTL(24): detection of null pivot rows (0 or 1)	tuning		yes
mat_mumps_icntl_25	int	mumps->id.ICNTL(25)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2247	ICNTL(25): computes a solution of a deficient matrix and a null space basis	tuning		yes
mat_mumps_icntl_26	int	mumps->id.ICNTL(26)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2248	ICNTL(26): drives the solution phase if a Schur complement matrix	tuning		yes
mat_mumps_icntl_27	int	mumps->id.ICNTL(27)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2249	ICNTL(27): controls the blocking size for multiple right-hand sides	tuning		yes
mat_mumps_icntl_28	int	"""None"""	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2250	None	tuning		yes
mat_mumps_icntl_29	int	"""None"""	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2251	None	tuning		yes
mat_mumps_icntl_3	int	"""None"""	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2188	None	tuning		yes
mat_mumps_icntl_30	int	mumps->id.ICNTL(30)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2252	ICNTL(30): compute user-specified set of entries in inv(A)	tuning		not found
mat_mumps_icntl_31	int	mumps->id.ICNTL(31)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2253	ICNTL(31): indicates which factors may be discarded during factorization	tuning		yes
mat_mumps_icntl_32	int	mumps->id.ICNTL(32)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2254	ICNTL(32): performs the forward elimination of the right-hand sides during factorization	tuning		not found
mat_mumps_icntl_33	int	mumps->id.ICNTL(33)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2255	ICNTL(33): compute determinant	tuning		yes
mat_mumps_icntl_35	int	mumps->id.ICNTL(35)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2256	ICNTL(35): activates Block Low Rank (BLR) based factorization	tuning		yes
mat_mumps_icntl_36	int	mumps->id.ICNTL(36)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2257	ICNTL(36): choice of BLR factorization variant	tuning		yes
mat_mumps_icntl_38	int	mumps->id.ICNTL(38)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2258	ICNTL(38): estimated compression rate of LU factors with BLR	tuning		yes
mat_mumps_icntl_4	int	mumps->id.ICNTL(4)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2191	ICNTL(4): level of printing (0 to 4)	tuning		yes
mat_mumps_icntl_48	int	mumps->id.ICNTL(48)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2259	ICNTL(48): multithreading with tree parallelism	tuning		yes
mat_mumps_icntl_58	int	mumps->id.ICNTL(58)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2260	ICNTL(58): defines options for symbolic factorization	tuning		yes
mat_mumps_icntl_6	int	mumps->id.ICNTL(6)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2195	ICNTL(6): permutes to a zero-free diagonal and/or scale the matrix (0 to 7)	tuning		yes
mat_mumps_icntl_7	int	3=Scotch	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2198	None	tuning		yes
mat_mumps_icntl_8	int	mumps->id.ICNTL(8)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2204	ICNTL(8): scaling strategy (-2 to 8 or 77)	tuning		yes
mat_mumps_icntl_9	int	mumps->id.ICNTL(9)	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2205	ICNTL(9): computes the solution using A or A^T	tuning		not found
mat_mumps_ooc_tmpdir	string	mumps->id.ooc_tmpdir	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2269	out of core directory	tuning		yes
mat_mumps_use_omp_threads	bool	&mumps->use_petsc_omp_support	mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2094	Convert MPI processes into OpenMP threads	tuning		yes
mat_mumps_view_info	array		mumps	mumps	pc_factor_mat_solver_type=mumps	src/mat/impls/aij/mpi/mumps/mumps.c:2271	request INFO local to each processor	diagnostic		yes
always_use_server	bool	km->alwaysuseserver	pc	pcmpi	pc_type=mpi	src/ksp/pc/impls/mpi/pcmpi.c:902	Use the server even if only one rank is used for the solve (for debugging)	tuning		yes
gdsw_debug	int	dbg	pc	gdsw	pc_type=mg	src/ksp/pc/impls/mg/gdsw.c:35	Debug output	diagnostic		yes
gdsw_minmax	array		pc	gdsw	pc_type=mg	src/ksp/pc/impls/mg/gdsw.c:31	Minimum and maximum number of basis functions per connected component for adaptive GDSW	tuning		yes
gdsw_reduced	bool	reduced	pc	gdsw	pc_type=mg	src/ksp/pc/impls/mg/gdsw.c:34	Reduced GDSW	tuning		yes
gdsw_reuse	bool	reuse_solver	pc	gdsw	pc_type=mg	src/ksp/pc/impls/mg/gdsw.c:33	Reuse interior solver from Schur complement computations	tuning		yes
gdsw_tolerance	real	tol	pc	gdsw	pc_type=mg	src/ksp/pc/impls/mg/gdsw.c:29	Tolerance for eigenvalue problem	tuning		yes
gdsw_userdefined	bool	userdefined	pc	gdsw	pc_type=mg	src/ksp/pc/impls/mg/gdsw.c:30	Use user-defined functions in addition to those adaptively generated	tuning		yes
gdsw_vertex_size	int	vsize	pc	gdsw	pc_type=mg	src/ksp/pc/impls/mg/gdsw.c:32	Connected components smaller or equal to vertex size will be considered as vertices	tuning		yes
minimum_count_per_rank	int	km->mincntperrank	pc	pcmpi	pc_type=mpi	src/ksp/pc/impls/mpi/pcmpi.c:901	Desired minimum number of nonzeros per rank	tuning		yes
pc_asm_blocks	int	osm->n	pc	asm	pc_type=asm	src/ksp/pc/impls/asm/asm.c:705	Number of subdomains	tuning		yes
pc_asm_dm_subdomains	bool	osm->dm_subdomains	pc	asm	pc_type=asm	src/ksp/pc/impls/asm/asm.c:704	Use DMCreateDomainDecomposition() to define subdomains	tuning		yes
pc_asm_local_blocks	int	osm->n_local_true	pc	asm	pc_type=asm	src/ksp/pc/impls/asm/asm.c:710	Number of local subdomains	tuning		yes
pc_asm_local_type	enum	(PetscEnum)osm->loctype	pc	asm	pc_type=asm	src/ksp/pc/impls/asm/asm.c:724	Type of local solver composition	tuning	6	yes
pc_asm_overlap	int	osm->overlap	pc	asm	pc_type=asm	src/ksp/pc/impls/asm/asm.c:715	Number of grid points overlap	tuning		yes
pc_asm_sub_mat_type	enum	NULL	pc	asm	pc_type=asm	src/ksp/pc/impls/asm/asm.c:726	Subsolve Matrix Type	tuning		yes
pc_asm_type	enum	(PetscEnum)osm->type	pc	asm	pc_type=asm	src/ksp/pc/impls/asm/asm.c:721	Type of restriction/extension	tuning	4	yes
pc_bddc_adaptive_nmax	int	pcbddc->adaptive_nmax	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:107	Maximum number of constraints per connected components	tuning		yes
pc_bddc_adaptive_nmin	int	pcbddc->adaptive_nmin	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:106	Minimum number of constraints per connected components	tuning		yes
pc_bddc_adaptive_threshold	array		pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:104	Thresholds to be used for adaptive selection of constraints	tuning		yes
pc_bddc_adaptive_userdefined	bool	pcbddc->adaptive_userdefined	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:102	Use user-defined constraints (should be attached via MatSetNearNullSpace to pmat) in addition to those adaptively genera	tuning		yes
pc_bddc_benign_change	bool	pcbddc->benign_change_explicit	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:111	Compute the pressure change of basis explicitly	tuning		yes
pc_bddc_benign_compute_correction	bool	pcbddc->benign_compute_correction	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:112	Compute the benign correction during PreSolve	tuning		yes
pc_bddc_benign_trick	bool	pcbddc->benign_saddle_point	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:110	Apply the benign subspace trick to saddle point problems with discontinuous pressures	tuning		yes
pc_bddc_check_level	int	pcbddc->dbg_flag	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:56	Verbose output for PCBDDC (intended for debug)	diagnostic		yes
pc_bddc_coarse_adj	int	pcbddc->coarse_adj_red	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:109	Number of processors where to map the coarse adjacency list	tuning		yes
pc_bddc_coarse_eqs_limit	int	pcbddc->coarse_eqs_limit	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:93	Set maximum number of equations on coarsest grid to aim for	tuning		yes
pc_bddc_coarse_eqs_per_proc	int	pcbddc->coarse_eqs_per_proc	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:86	Target number of equations per process for coarse problem redistribution (significant only at the coarsest level)	tuning		yes
pc_bddc_coarsening_ratio	int	i	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:88	Set coarsening ratio used in multilevel coarsening	tuning		yes
pc_bddc_corner_selection	bool	pcbddc->corner_selection	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:72	Activates face-based corner selection	tuning		yes
pc_bddc_deluxe_singlemat	bool	pcbddc->deluxe_singlemat	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:101	Collapse deluxe operators	tuning		yes
pc_bddc_deluxe_zerorows	bool	pcbddc->deluxe_zerorows	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:100	Zero rows and columns of deluxe operators associated with primal dofs	tuning		yes
pc_bddc_detect_disconnected	bool	pcbddc->detect_disconnected	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:114	Detects disconnected subdomains	tuning		yes
pc_bddc_detect_disconnected_filter	bool	pcbddc->detect_disconnected_filter	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:115	Filters out small entries in the local matrix when detecting disconnected subdomains	tuning		yes
pc_bddc_dirichlet_approximate	bool	pcbddc->NullSpace_corr[0]	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:60	Inform PCBDDC that we are using approximate Dirichlet solvers	tuning		yes
pc_bddc_dirichlet_approximate_scale	bool	pcbddc->NullSpace_corr[1]	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:61	Inform PCBDDC that we need to scale the Dirichlet solve	tuning		yes
pc_bddc_eliminate_dirichlet	bool	pcbddc->eliminate_dirdofs	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:116	Whether or not we want to eliminate dirichlet dofs during presolve	tuning		yes
pc_bddc_graph_maxcount	int	pcbddc->graphmaxcount	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:71	Maximum number of shared subdomains for a connected component	tuning		yes
pc_bddc_interface_ext_type	enum	(PetscEnum)pcbddc->interface_extension	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:58	Use DIRICHLET or LUMP to extend interface corrections to interior	tuning	2	yes
pc_bddc_levels	int	i	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:91	Set maximum number of levels for multilevel	tuning		yes
pc_bddc_load	string	load	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:48	Load customization from file (intended for debug)	tuning		yes
pc_bddc_local_mat_graph_square	int	pcbddc->local_adj_square	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:70	Square adjacency graph of local mat for interface analysis	tuning		yes
pc_bddc_monolithic	bool	monolithic	pc	bddcprivate	pc_type=bddc	src/ksp/pc/impls/bddc/bddcprivate.c:1713	Discard any information on dofs splitting	tuning		yes
pc_bddc_nedelec_field_primal	bool	setprimal	pc	bddcprivate	pc_type=bddc	src/ksp/pc/impls/bddc/bddcprivate.c:189	All edge dofs set as primals: Toselli's algorithm C	tuning		yes
pc_bddc_nedelec_order	int	order	pc	bddcprivate	pc_type=bddc	src/ksp/pc/impls/bddc/bddcprivate.c:191	Test variable order code (to be removed)	tuning		yes
pc_bddc_nedelec_print	bool	print	pc	bddcprivate	pc_type=bddc	src/ksp/pc/impls/bddc/bddcprivate.c:192	Print debug info	diagnostic		yes
pc_bddc_neumann_approximate	bool	pcbddc->NullSpace_corr[2]	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:66	Inform PCBDDC that we are using approximate Neumann solvers	tuning		yes
pc_bddc_neumann_approximate_scale	bool	pcbddc->NullSpace_corr[3]	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:67	Inform PCBDDC that we need to scale the Neumann solve	tuning		yes
pc_bddc_nonetflux	bool	pcbddc->compute_nonetflux	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:113	Automatic computation of no-net-flux quadrature weights	tuning		yes
pc_bddc_pressure_blocked	bool	blocked	pc	bddcprivate	pc_type=bddc	src/ksp/pc/impls/bddc/bddcprivate.c:2704	Use blocked pressure fields	tuning		yes
pc_bddc_pressure_field	array		pc	bddcprivate	pc_type=bddc	src/ksp/pc/impls/bddc/bddcprivate.c:2703	Field id for pressures	tuning		yes
pc_bddc_schur_exact	bool	pcbddc->sub_schurs_exact_schur	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:99	Whether or not to use the exact Schur complement instead of the reduced one (which excludes size 1 cc)	tuning		yes
pc_bddc_schur_layers	int	pcbddc->sub_schurs_layers	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:97	Number of dofs' layers for the computation of principal minors (i.e. -1 uses all dofs)	tuning		yes
pc_bddc_schur_rebuild	bool	pcbddc->sub_schurs_rebuild	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:96	Whether or not the interface graph for Schur principal minors has to be rebuilt (i.e. define the interface without any a	tuning		yes
pc_bddc_schur_use_useradj	bool	pcbddc->sub_schurs_use_useradj	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:98	Whether or not the CSR graph specified by the user should be used for computing successive layers (default is to use adj	tuning		yes
pc_bddc_switch_static	bool	pcbddc->switch_static	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:85	Switch on static condensation ops around the interface preconditioner	tuning		yes
pc_bddc_symmetric	bool	pcbddc->symmetric_primal	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:108	Symmetric computation of primal basis functions	tuning		yes
pc_bddc_use_change_of_basis	bool	pcbddc->use_change_of_basis	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:81	Use or not internal change of basis on local edge nodes	tuning		yes
pc_bddc_use_change_on_faces	bool	pcbddc->use_change_on_faces	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:82	Use or not internal change of basis on local face nodes	tuning		yes
pc_bddc_use_coarse_estimates	bool	pcbddc->use_coarse_estimates	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:94	Use estimated eigenvalues for coarse problem	tuning		yes
pc_bddc_use_deluxe_scaling	bool	pcbddc->use_deluxe_scaling	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:95	Use deluxe scaling for BDDC	tuning		yes
pc_bddc_use_edges	bool	pcbddc->use_edges	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:74	Use or not edge constraints in coarse space	tuning		yes
pc_bddc_use_faces	bool	pcbddc->use_faces	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:75	Use or not face constraints in coarse space	tuning		yes
pc_bddc_use_local_mat_graph	bool	pcbddc->use_local_adj	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:69	Use or not adjacency graph of local mat for interface analysis	tuning		yes
pc_bddc_use_nnsp	bool	pcbddc->use_nnsp	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:77	Use near null space attached to the matrix to compute constraints	tuning		yes
pc_bddc_use_nnsp_true	bool	pcbddc->use_nnsp_true	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:78	Use near null space attached to the matrix to compute constraints as is	tuning		yes
pc_bddc_use_qr_single	bool	pcbddc->use_qr_single	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:79	Use QR factorization for single constraints on cc (QR is always used when multiple constraints are present)	tuning		yes
pc_bddc_use_vertices	bool	pcbddc->use_vertices	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:73	Use or not corner dofs in coarse space	tuning		yes
pc_bddc_vertex_size	int	pcbddc->vertex_size	pc	bddc	pc_type=bddc	src/ksp/pc/impls/bddc/bddc.c:76	Connected components smaller or equal to vertex size will be considered as primal vertices	tuning		yes
pc_bjacobi_blocks	int	jac->n	pc	bjacobi	pc_type=bjacobi	src/ksp/pc/impls/bjacobi/bjacobi.c:160	Total number of blocks	tuning		yes
